Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Gabon,Life expectancy,Total,2000,58.264,Units,Years,,,,,,,,UNPD2019,,,,,,
Gabon,Life expectancy,Total,2018,66.187,Units,Years,,,,,,,,UNPD2019,,,,,,
Gambia,Life expectancy,Total,1970,37.868,Units,Years,,,,,,,,UNPD2019,,,,,,
Gambia,Life expectancy,Total,2000,55.956,Units,Years,,,,,,,,UNPD2019,,,,,,
Gambia,Life expectancy,Total,2018,61.735,Units,Years,,,,,,,,UNPD2019,,,,,,
Georgia,Life expectancy,Total,1970,67.452,Units,Years,,,,,,,,UNPD2019,,,,,,
Georgia,Life expectancy,Total,2000,69.902,Units,Years,,,,,,,,UNPD2019,,,,,,
Georgia,Life expectancy,Total,2018,73.6,Units,Years,,,,,,,,UNPD2019,,,,,,
Germany,Life expectancy,Total,1970,70.872,Units,Years,,,,,,,,UNPD2019,,,,,,
Germany,Life expectancy,Total,2000,77.982,Units,Years,,,,,,,,UNPD2019,,,,,,
Germany,Life expectancy,Total,2018,81.18,Units,Years,,,,,,,,UNPD2019,,,,,,
Ghana,Life expectancy,Total,1970,49.34,Units,Years,,,,,,,,UNPD2019,,,,,,
Ghana,Life expectancy,Total,2000,57.002,Units,Years,,,,,,,,UNPD2019,,,,,,
Ghana,Life expectancy,Total,2018,63.78,Units,Years,,,,,,,,UNPD2019,,,,,,
Greece,Life expectancy,Total,1970,70.969,Units,Years,,,,,,,,UNPD2019,,,,,,
Greece,Life expectancy,Total,2000,78.587,Units,Years,,,,,,,,UNPD2019,,,,,,
Greece,Life expectancy,Total,2018,82.072,Units,Years,,,,,,,,UNPD2019,,,,,,
Grenada,Life expectancy,Total,1970,65.619,Units,Years,,,,,,,,UNPD2019,,,,,,
Grenada,Life expectancy,Total,2000,72.648,Units,Years,,,,,,,,UNPD2019,,,,,,
Grenada,Life expectancy,Total,2018,72.384,Units,Years,,,,,,,,UNPD2019,,,,,,
Guatemala,Life expectancy,Total,1970,52.501,Units,Years,,,,,,,,UNPD2019,,,,,,
Guatemala,Life expectancy,Total,2000,67.849,Units,Years,,,,,,,,UNPD2019,,,,,,
Guatemala,Life expectancy,Total,2018,74.063,Units,Years,,,,,,,,UNPD2019,,,,,,
Guinea,Life expectancy,Total,1970,36.655,Units,Years,,,,,,,,UNPD2019,,,,,,
Guinea,Life expectancy,Total,2000,51.203,Units,Years,,,,,,,,UNPD2019,,,,,,
Guinea,Life expectancy,Total,2018,61.185,Units,Years,,,,,,,,UNPD2019,,,,,,
Guinea-Bissau,Life expectancy,Total,1970,40.649,Units,Years,,,,,,,,UNPD2019,,,,,,
Guinea-Bissau,Life expectancy,Total,2000,50.368,Units,Years,,,,,,,,UNPD2019,,,,,,
Guinea-Bissau,Life expectancy,Total,2018,58.003,Units,Years,,,,,,,,UNPD2019,,,,,,
Guyana,Life expectancy,Total,1970,61.789,Units,Years,,,,,,,,UNPD2019,,,,,,
Guyana,Life expectancy,Total,2000,65.242,Units,Years,,,,,,,,UNPD2019,,,,,,
Guyana,Life expectancy,Total,2018,69.774,Units,Years,,,,,,,,UNPD2019,,,,,,
Haiti,Life expectancy,Total,1970,46.027,Units,Years,,,,,,,,UNPD2019,,,,,,
Haiti,Life expectancy,Total,2000,57.131,Units,Years,,,,,,,,UNPD2019,,,,,,
Haiti,Life expectancy,Total,2018,63.66,Units,Years,,,,,,,,UNPD2019,,,,,,
Holy See,Life expectancy,Total,1970,,Units,Years,,,,,,,,UNPD2019,,,,,,
Holy See,Life expectancy,Total,2000,,Units,Years,,,,,,,,UNPD2019,,,,,,
Holy See,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Honduras,Life expectancy,Total,1970,52.522,Units,Years,,,,,,,,UNPD2019,,,,,,
Honduras,Life expectancy,Total,2000,70.689,Units,Years,,,,,,,,UNPD2019,,,,,,
Honduras,Life expectancy,Total,2018,75.088,Units,Years,,,,,,,,UNPD2019,,,,,,
Hungary,Life expectancy,Total,1970,69.464,Units,Years,,,,,,,,UNPD2019,,,,,,
Hungary,Life expectancy,Total,2000,71.721,Units,Years,,,,,,,,UNPD2019,,,,,,
Hungary,Life expectancy,Total,2018,76.701,Units,Years,,,,,,,,UNPD2019,,,,,,
Iceland,Life expectancy,Total,1970,73.779,Units,Years,,,,,,,,UNPD2019,,,,,,
Iceland,Life expectancy,Total,2000,79.882,Units,Years,,,,,,,,UNPD2019,,,,,,
Iceland,Life expectancy,Total,2018,82.855,Units,Years,,,,,,,,UNPD2019,,,,,,
India,Life expectancy,Total,1970,47.737,Units,Years,,,,,,,,UNPD2019,,,,,,
India,Life expectancy,Total,2000,62.505,Units,Years,,,,,,,,UNPD2019,,,,,,
India,Life expectancy,Total,2018,69.416,Units,Years,,,,,,,,UNPD2019,,,,,,
Indonesia,Life expectancy,Total,1970,52.553,Units,Years,,,,,,,,UNPD2019,,,,,,
Indonesia,Life expectancy,Total,2000,65.772,Units,Years,,,,,,,,UNPD2019,,,,,,
Indonesia,Life expectancy,Total,2018,71.509,Units,Years,,,,,,,,UNPD2019,,,,,,
Iran (Islamic Republic of),Life expectancy,Total,1970,50.855,Units,Years,,,,,,,,UNPD2019,,,,,,
Iran (Islamic Republic of),Life expectancy,Total,2000,70.176,Units,Years,,,,,,,,UNPD2019,,,,,,
Iran (Islamic Republic of),Life expectancy,Total,2018,76.479,Units,Years,,,,,,,,UNPD2019,,,,,,
Iraq,Life expectancy,Total,1970,58.201,Units,Years,,,,,,,,UNPD2019,,,,,,
Iraq,Life expectancy,Total,2000,69.082,Units,Years,,,,,,,,UNPD2019,,,,,,
Iraq,Life expectancy,Total,2018,70.454,Units,Years,,,,,,,,UNPD2019,,,,,,
Ireland,Life expectancy,Total,1970,70.977,Units,Years,,,,,,,,UNPD2019,,,,,,
Ireland,Life expectancy,Total,2000,76.852,Units,Years,,,,,,,,UNPD2019,,,,,,
Ireland,Life expectancy,Total,2018,82.103,Units,Years,,,,,,,,UNPD2019,,,,,,
Israel,Life expectancy,Total,1970,72.157,Units,Years,,,,,,,,UNPD2019,,,,,,
Israel,Life expectancy,Total,2000,78.916,Units,Years,,,,,,,,UNPD2019,,,,,,
Israel,Life expectancy,Total,2018,82.819,Units,Years,,,,,,,,UNPD2019,,,,,,
Italy,Life expectancy,Total,1970,71.571,Units,Years,,,,,,,,UNPD2019,,,,,,
